Name,Mj,Mj_err1,Mj_err2,Rj,Rj_err1,Rj_err2,P,e,e_err,Ms,Ms_err1,Ms_err2,Rs,Rs_err1,Rs_err2,Teff,T_err,FeH,FeH_err,Density_cgs,Density_err_upper_cgs,Density_err_lower_cgs
TOI-2521b,77.5,3.3,3.3,1.01,0.04,0.04,5.56306,0.035,0.0,1.1,0.07,0.07,1.77,0.068,0.068,5600.0,100.0,-0.3,0.3,93.27662846130677,11.772594914950789,11.772594914950789
Kepler-503b,78.6,3.1,3.1,0.96,0.06,0.04,7.25845,0.025,0.014,1.154,0.047,0.042,1.764,0.08,0.068,5670.0,100.0,0.169,0.046,110.16511842151253,21.107987322510997,14.439839960609996
TOI-587b,79.9,5.3,5.1,1.377,0.043,0.04,8.04248,0.0,0.0,2.32,0.11,0.1,2.101,0.058,0.053,9780.0,200.0,0.00,0.10,37.94724202922694,4.355899990634928,4.099121039331252
ZTFJ2020+5033,80.1,1.6,1.6,1.05,0.01,0.01,0.07928,0.0,0.0,0.134,0.004,0.004,0.176,0.002,0.002,2856.0,6.0,0.0,0.0,85.80248728697792,2.9912086040629555,2.9912086040629555
KOI-189b,80.4,2.5,2.3,0.988,0.02,0.021,30.36,0.274,0.004,0.801,0.037,0.034,0.768,0.011,0.011,4973.0,84.0,0.04,0.14,103.37617852413321,7.052990898206843,7.224772389619382
TOI-2155b,80.6,0.9,0.9,0.97,0.02,0.02,3.7246960,0.012,0.011,1.33,0.008,0.008,1.705,0.066,0.064,6107,14,0.115,0.016,110,7,6
TOI-1712b,82.0,7.0,7.0,1.74,0.08,0.07,3.56663,0.09,0.072,1.63,0.01,0.02,3.1,0.07,0.1,6860.0,40.0,-0.2,0.10,19.301957998245705,3.130983407272792,2.8533831815958246
TOI-746b,82.2,4.9,4.9,0.95,0.09,0.09,10.98,0.2,0.0028,0.94,0.13,0.13,0.97,0.067,0.054,5690.0,140.0,-0.02,0.23,118.88751798562511,34.52430055483812,34.52430055483812
TOI-4635b,84.0,2.1,2.0,1.02,0.019,0.019,12.27693,0.4906,0.0015,0.698,0.027,0.025,0.683,0.011,0.011,4555.0,67.0,-0.091,0.039,98.15536209065552,6.009030358488504,5.962266304816688
EBLMJ0555-57Ab,87.9,4.0,4.0,0.82,0.13,0.06,7.76,0.09,0.004,1.18,-0.08,0.08,1.0,-0.07,0.14,6368.0,124.0,-0.04,0.14,197.68903280823855,94.45222423593644,44.317817517741936
TOI-681b,88.7,2.5,2.3,1.52,0.25,0.15,15.78,0.093,0.022,1.54,-0.05,0.06,1.47,-0.04,0.04,7440.0,150.0,-0.08,0.05,31.32045876258408,15.479365542821535,9.308002502321786
OGLE-TR-123b,89.0,11.5,11.5,1.29,0.09,0.09,1.8,0.0,-,1.29,-0.26,0.26,1.55,-0.1,0.1,6700.0,300.0,-,-,51.41100982623722,12.64581134297208,12.64581134297208
TOI-694b,89.0,5.3,5.3,1.11,0.02,0.02,48.05,0.519,0.001,0.97,-0.04,0.05,1.0,-0.01,0.01,5496.0,87.0,0.21,0.08,80.69680291897106,6.490005028161219,6.490005028161219
TOI-1608b,90.7,3.7,3.7,1.21,0.06,0.06,2.4727,0.041,0.024,1.38,-0.0,0.08,2.222,-0.076,0.0076,5950.0,100.0,0.10,0.30,63.487238180261855,9.793052535035963,9.793052535035963
TOI-5467b,91.6,2.8,2.8,1.126,0.051,0.049,2.6571,0.0439,0.0006,1.512,-0.063,0.06,1.531,-0.049,0.053,6740.0,160.0,0.28,0.09,79.56380802433029,11.081255015313273,10.668034600518586
KOI-607b,95.1,3.3,3.4,1.09,0.09,0.06,5.89,0.395,0.009,0.99,-0.05,0.05,0.92,-0.03,0.03,5418.0,87.0,0.38,0.08,91.06181072679674,22.77684774565624,15.386111888805148
EBLMJ1219-39b,95.4,1.9,2.5,1.14,0.05,0.07,6.76,0.055,0.000,0.83,-0.03,0.03,0.81,-0.02,0.04,5412.0,81.0,-0.21,0.07,79.84892605989118,10.62611079380259,14.857103179102607
