time,baseline,rv,model_time,model,residuals
,-1.5798749003260957,,2459224.671674741,3.5034565300829343,
,-1.5798749003260957,,2459225.420576746,-6.543779462644231,
,-1.5798749003260957,,2459226.169478751,-7.487973817890496,
,-1.5798749003260957,,2459226.918380756,1.9960347957126194,
,-1.5798749003260957,,2459227.667282761,8.744930609871169,
,-1.5798749003260957,,2459228.4161847658,3.2332493140816307,
,-1.5798749003260957,,2459229.165086771,-6.731606656953789,
,-1.5798749003260957,,2459229.913988776,-7.335375971003298,
,-1.5798749003260957,,2459230.6628907807,2.280415782784094,
,-1.5798749003260957,,2459231.411792786,8.761548251095086,
,-1.5798749003260957,,2459232.160694791,2.959514646767914,
,-1.5798749003260957,,2459232.909596796,-6.911955108651727,
,-1.5798749003260957,,2459233.658498801,-7.174600732143354,
,-1.5798749003260957,,2459234.407400806,2.5623184081714228,
,-1.5798749003260957,,2459235.156302811,8.768282761608676,
,-1.5798749003260957,,2459235.905204816,2.6825612107934953,
,-1.5798749003260957,,2459236.654106821,-7.08462895758019,
,-1.5798749003260957,,2459237.403008826,-7.005821404660008,
,-1.5798749003260957,,2459238.1519108308,2.8414230785116974,
,-1.5798749003260957,,2459238.900812836,8.765127949608438,
,-1.5798749003260957,,2459239.649714841,2.402700872551785,
,-1.5798749003260957,,2459240.398616846,-7.249440732838995,
,-1.5798749003260957,,2459241.147518851,-6.829220193411569,
,-1.5798749003260957,,2459241.896420856,3.11741306605174,
,-1.5798749003260957,,2459242.645322861,8.752089096404573,
,-1.5798749003260957,,2459243.394224866,2.120248375477168,
,-1.5798749003260957,,2459244.143126871,-7.4062114862808786,
,-1.5798749003260957,,2459244.892028876,-6.644988005427518,
,-1.5798749003260957,,2459245.640930881,3.3899748126390374,
,-1.5798749003260957,,2459246.389832886,8.729182944739339,
,-1.5798749003260957,,2459247.138734891,1.835520900412668,
,-1.5798749003260957,,2459247.887636896,-7.554771020555718,
,-1.5798749003260957,,2459248.636538901,-6.453324289665878,
,-1.5798749003260957,,2459249.385440906,3.6587983811193396,
,-1.5798749003260957,,2459250.134342911,8.696437664530706,
,-1.5798749003260957,,2459250.883244916,1.548837797154567,
,-1.5798749003260957,,2459251.632146921,-7.694958016764287,
,-1.5798749003260957,,2459252.381048926,-6.254436816401587,
,-1.5798749003260957,,2459253.1299509313,3.9235777616393097,
,-1.5798749003260957,,2459253.878852936,8.653892818059475,
,-1.5798749003260957,,2459254.627754941,1.2605201426112955,
,-1.5798749003260957,,2459255.3766569463,-7.826620229240975,
,-1.5798749003260957,,2459256.125558951,-6.048541505103124,
,-1.5798749003260957,,2459256.874460956,4.184011265225783,
,-1.5798749003260957,,2459257.623362961,8.601599291102927,
,-1.5798749003260957,,2459258.372264966,0.9708904325469091,
,-1.5798749003260957,,2459259.121166971,-7.949614603706692,
,-1.5798749003260957,,2459259.870068976,-5.8358621635198,
,-1.5798749003260957,,2459260.6189709813,4.43980191120009,
,-1.5798749003260957,,2459261.367872986,8.539619233040678,
,-1.5798749003260957,,2459262.116774991,0.6802721862737414,
,-1.5798749003260957,,2459262.8656769963,-8.06380744778936,
,-1.5798749003260957,,2459263.614579001,-5.616630328404086,
,-1.5798749003260957,,2459264.363481006,4.690657731437585,
,-1.5798749003260957,,2459265.1123830113,8.468025959157787,
,-1.5798749003260957,,2459265.861285016,0.3889896130393925,
,-1.5798749003260957,,2459266.610187021,-8.169074543479084,
,-1.5798749003260957,,2459267.359089026,-5.391084963967815,
,-1.5798749003260957,,2459268.1079910314,4.936292184574348,
,-1.5798749003260957,,2459268.856893036,8.386903857619933,
,-1.5798749003260957,,2459269.605795041,0.09736721822509571,
,-1.5798749003260957,,2459270.3546970463,-8.265301289491601,
,-1.5798749003260957,,2459271.103599051,-5.159472293420783,
,-1.5798749003260957,,2459271.852501056,5.176424440178733,
,-1.5798749003260957,,2459272.6014030613,8.296348268263577,
,-1.5798749003260957,,2459273.350305066,-0.19427050685539066,
,-1.5798749003260957,,2459274.099207071,-8.352382790629433,
,-1.5798749003260957,,2459274.8481090763,-4.9220454754881215,
,-1.5798749003260957,,2459275.5970110814,5.410779790695935,
,-1.5798749003260957,,2459276.345913086,8.196465364551411,
,-1.5798749003260957,,2459277.094815091,-0.48559948911507056,
,-1.5798749003260957,,2459277.8437170964,-8.43022399864062,
,-1.5798749003260957,,2459278.592619101,-4.679064416865764,
,-1.5798749003260957,,2459279.341521106,5.639089930561945,
,-1.5798749003260957,,2459280.0904231113,8.087371999275582,
,-1.5798749003260957,,2459280.839325116,-0.7762963934067395,
,-1.5798749003260957,,2459281.588227121,-8.498739773365397,
,-1.5798749003260957,,2459282.3371291263,-4.430795450764637,
,-1.5798749003260957,,2459283.0860311314,5.861093324239235,
,-1.5798749003260957,,2459283.834933136,7.969195563970066,
,-1.5798749003260957,,2459284.5838351413,-1.0660390012064362,
,-1.5798749003260957,,2459285.3327371464,-8.557854995252418,
,-1.5798749003260957,,2459286.081639151,-4.177511095897333,
